Ville;31/08/2016;09/30/2017;31/08/2018;31/08/2019
Casablanca;816;;;
Rabat;802;;;
Oujda;494;;;
Temara;273;;;
Kenitra;272;;;
Tanger;268;;;
Meknes;168;;;
Salé;146;;;
Others;909;;;
Unknown;23;;;
Rabat;;891;;
Casablanca;;688;;
Oujda;;533;;
Kenitra;;422;;
Temara;;271;;
Tanger;;235;;
Meknes;;209;;
Tetouan;;155;;
Others;;1 216;;
Unknown;;3;;
Rabat;;;960;
Casablanca;;;645;
Oujda;;;581;
Kénitra;;;385;
Tanger;;;304;
Temara;;;294;
Marrakech;;;238;
Meknes;;;223;
Others;;;1489;
Unknown;;;0;
Rabat;;;;1086
Casablanca;;;;726
Oujda;;;;570
Nador;;;;417
Temara;;;;383
Kénitra;;;;369
Meknes;;;;297
Tanger;;;;289
Others;;;;2074
Unknown;;;;33
